workbook_path,workbook_name,sheet_name,best_target_geography,best_target_master_key,best_source_excel_column,best_column_label_guess,best_match_rate,recommended_action,join_caveat,sheet_index,max_row,max_column,rows_scanned,columns_scanned,best_source_column_index
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Population_proportion,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Cancer_incidence_females,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,30,339,61,339,61,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Cancer_incidence_persons,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,31,339,41,339,41,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_health_condition_total,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,32,339,26,339,26,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_health_condition_adults,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,33,339,26,339,26,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_health_condition_child,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,34,339,21,339,21,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_condition_type_total,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,35,339,56,339,56,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_condition_type_adults,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,36,339,56,339,56,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_condition_type_children,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,37,339,16,339,16,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Census_disability,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,38,339,29,339,29,1.0
D:\Good Measure\MentalWellbeingByGeography\data\raw\phidu\06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,06_phn_socioeconomic_disadvantage_socioeconomic_disadvantage_of_area_within_primary_health_networks_phns_data_xlsx.xlsx,Median_age_death,PHN,phn_2017_code,A,"© 2026 PHIDU, Torrens University Australia | BACK TO CONTENTS | Link to Key | Code
(PHN) | PHN101",0.8857142857142857,manual_review_key_match_below_threshold,Some key overlap detected but below safe threshold. Inspect unmatched keys.,39,339,10,339,10,1.0
