timestamp_utc,response_index,status,url,resource_type,content_type,saved_path,capture_status,target_score,target_hits_json
2026-06-19T01:02:03.379489+00:00,279,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.383485+00:00,297,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.388641+00:00,314,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.388964+00:00,315,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.389307+00:00,316,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.396880+00:00,336,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.398075+00:00,340,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.398498+00:00,341,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.404669+00:00,362,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.407000+00:00,369,200,https://dataresearch.ndis.gov.au/datasets/payments-datasets,document,text/html; charset=UTF-8,,capture_failed,1,"{""utilisation_payment"": [""payments""]}"
2026-06-19T01:02:03.407831+00:00,371,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.408356+00:00,372,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.408797+00:00,373,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.417868+00:00,393,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.419113+00:00,396,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.419539+00:00,397,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.425419+00:00,415,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.429767+00:00,429,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.430117+00:00,430,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.430574+00:00,431,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.438078+00:00,451,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.439570+00:00,455,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.439904+00:00,456,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.446734+00:00,477,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.450818+00:00,486,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.451317+00:00,487,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.451735+00:00,488,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/menu.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.457936+00:00,508,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/theme.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.458796+00:00,511,200,https://dataresearch.ndis.gov.au/modules/contrib/search_api_autocomplete/css/search_api_autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.459058+00:00,512,200,"https://fonts.googleapis.com/css?family=Asap:400,500,600,700|Open+Sans:300,400,600,700",stylesheet,text/css; charset=utf-8,,capture_failed,1,"{""download_api"": [""api""]}"
2026-06-19T01:02:03.463649+00:00,530,200,https://dataresearch.ndis.gov.au/themes/custom/ndis/assets/dist/js/chunk/provider-search-8ce008ec617ad8f64458.js,script,application/javascript,,capture_failed,1,"{""provider_market"": [""provider""]}"
2026-06-19T01:02:03.468385+00:00,546,200,https://dataresearch.ndis.gov.au/media/4044/download?attachment,document,application/zip,,capture_failed,1,"{""download_api"": [""download""]}"
2026-06-19T01:02:03.473556+00:00,561,200,https://dataresearch.ndis.gov.au/media/4248/download?attachment,document,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,capture_failed,1,"{""download_api"": [""download""]}"
2026-06-19T01:02:03.474135+00:00,563,200,https://dataresearch.ndis.gov.au/media/4248/download?attachment,document,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,capture_failed,1,"{""download_api"": [""download""]}"
2026-06-19T01:02:03.475006+00:00,567,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/core.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
2026-06-19T01:02:03.475381+00:00,568,200,https://dataresearch.ndis.gov.au/core/assets/vendor/jquery.ui/themes/base/autocomplete.css?tgn9h4,stylesheet,text/css,,capture_failed,1,"{""download_api"": [""query""]}"
