file_path,status,file_size_bytes,period_tokens_found,candidate_path_count,target_score,target_hits_json
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\ruxitagentjs_ICA7NQVfqrux_10339260603164134.js,pass,290024,,0,1,"{""provider_market"": [""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\search-reset-c3d8f5326dcddfaf34ae.js,pass,3146,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\state_region.json,pass,27768,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\state_region_fn.json,pass,27768,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\state_region_lga_sa2.json,pass,27765,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\state_sa2_fn_suburb.json,pass,27765,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\state_sa2_suburb.json,pass,27765,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\tooltips-784b4511e5f1a5e35384.js,pass,819,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\vendors_language-slider-317db361d1c9edbcb3a2.js,pass,22837,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\vendors_mmenu-e509925027ce915a82bc.js,pass,1014,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\webReader.js,pass,89546,,0,2,"{""geography"": [""region""], ""provider_market"": [""provider""]}"
