request_timestamp_utc,sa3_code_2021,sa3_name_2021,state_name_2021,year_requested,status,records_retrieved,raw_file,error
2026-06-18T02:31:51.160960+00:00,12601,Pennant Hills - Epping,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12601_pennant_hills_epping_2021_22.csv,
2026-06-18T02:31:51.190562+00:00,12602,Ryde - Hunters Hill,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12602_ryde_hunters_hill_2021_22.csv,
2026-06-18T02:31:51.218843+00:00,12701,Bringelly - Green Valley,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12701_bringelly_green_valley_2021_22.csv,
2026-06-18T02:31:51.244279+00:00,12702,Fairfield,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12702_fairfield_2021_22.csv,
2026-06-18T02:31:51.272012+00:00,12703,Liverpool,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12703_liverpool_2021_22.csv,
2026-06-18T02:31:51.298682+00:00,12801,Cronulla - Miranda - Caringbah,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12801_cronulla_miranda_caringbah_2021_22.csv,
2026-06-18T02:31:51.329836+00:00,12802,Sutherland - Menai - Heathcote,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_12802_sutherland_menai_heathcote_2021_22.csv,
2026-06-18T02:31:51.359571+00:00,70101,Darwin City,Northern Territory,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70101_darwin_city_2021_22.csv,
2026-06-18T02:31:51.392457+00:00,70102,Darwin Suburbs,Northern Territory,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70102_darwin_suburbs_2021_22.csv,
2026-06-18T02:31:51.428227+00:00,70103,Litchfield,Northern Territory,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70103_litchfield_2021_22.csv,
2026-06-18T02:31:51.460178+00:00,70104,Palmerston,Northern Territory,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70104_palmerston_2021_22.csv,
2026-06-18T02:31:51.487772+00:00,70201,Alice Springs,Northern Territory,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70201_alice_springs_2021_22.csv,
2026-06-18T02:31:51.514926+00:00,70202,Barkly,Northern Territory,2021-22,cached,54,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70202_barkly_2021_22.csv,
2026-06-18T02:31:51.538245+00:00,70203,Daly - Tiwi - West Arnhem,Northern Territory,2021-22,cached,54,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70203_daly_tiwi_west_arnhem_2021_22.csv,
2026-06-18T02:31:51.562560+00:00,70204,East Arnhem,Northern Territory,2021-22,cached,30,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70204_east_arnhem_2021_22.csv,
2026-06-18T02:31:51.588786+00:00,70205,Katherine,Northern Territory,2021-22,cached,54,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_70205_katherine_2021_22.csv,
2026-06-18T02:32:01.121743+00:00,90101,Christmas Island,Other Territories,2021-22,success_no_profile_rows,0,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90101_christmas_island_2021_22.csv,
2026-06-18T02:32:09.036446+00:00,90102,Cocos (Keeling) Islands,Other Territories,2021-22,success_no_profile_rows,0,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90102_cocos_keeling_islands_2021_22.csv,
2026-06-18T02:32:16.276243+00:00,90103,Jervis Bay,Other Territories,2021-22,success_no_profile_rows,0,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90103_jervis_bay_2021_22.csv,
2026-06-18T02:32:25.570329+00:00,90104,Norfolk Island,Other Territories,2021-22,success_no_profile_rows,0,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90104_norfolk_island_2021_22.csv,
2026-06-18T02:32:26.596411+00:00,30101,Capalaba,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30101_capalaba_2021_22.csv,
2026-06-18T02:32:26.628227+00:00,30102,Cleveland - Stradbroke,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30102_cleveland_stradbroke_2021_22.csv,
2026-06-18T02:32:26.658226+00:00,30103,Wynnum - Manly,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30103_wynnum_manly_2021_22.csv,
2026-06-18T02:32:26.685611+00:00,30201,Bald Hills - Everton Park,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30201_bald_hills_everton_park_2021_22.csv,
2026-06-18T02:32:26.713462+00:00,30202,Chermside,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30202_chermside_2021_22.csv,
2026-06-18T02:32:26.740319+00:00,30203,Nundah,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30203_nundah_2021_22.csv,
2026-06-18T02:32:26.768597+00:00,30204,Sandgate,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30204_sandgate_2021_22.csv,
2026-06-18T02:32:26.798190+00:00,30301,Carindale,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30301_carindale_2021_22.csv,
2026-06-18T02:32:26.828643+00:00,30302,Holland Park - Yeronga,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30302_holland_park_yeronga_2021_22.csv,
2026-06-18T02:32:26.857616+00:00,30303,Mt Gravatt,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30303_mt_gravatt_2021_22.csv,
2026-06-18T02:32:26.884477+00:00,30304,Nathan,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30304_nathan_2021_22.csv,
2026-06-18T02:32:26.911448+00:00,30305,Rocklea - Acacia Ridge,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30305_rocklea_acacia_ridge_2021_22.csv,
2026-06-18T02:32:26.939007+00:00,30306,Sunnybank,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30306_sunnybank_2021_22.csv,
2026-06-18T02:32:26.968239+00:00,30401,Centenary,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30401_centenary_2021_22.csv,
2026-06-18T02:32:26.999021+00:00,30402,Kenmore - Brookfield - Moggill,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30402_kenmore_brookfield_moggill_2021_22.csv,
2026-06-18T02:32:27.028524+00:00,30403,Sherwood - Indooroopilly,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30403_sherwood_indooroopilly_2021_22.csv,
2026-06-18T02:32:27.056483+00:00,30404,The Gap - Enoggera,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30404_the_gap_enoggera_2021_22.csv,
2026-06-18T02:32:27.092012+00:00,30501,Brisbane Inner,Queensland,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_30501_brisbane_inner_2021_22.csv,
