column_name,source_table,initial_field_role,initial_modelling_use,missing_count,missing_pct,dtype,notes
remoteness_sa1_count,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,int64,SA2-level remoteness classification derived through SA1 bridge.
sa2_ra_category_count,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,int64,SA2-level remoteness classification derived through SA1 bridge.
remoteness_assignment_method,sa2_remoteness_2021,candidate_predictor_or_geographic_context,candidate_predictor_after_screening,0,0.0,str,SA2-level remoteness classification derived through SA1 bridge.
source_remoteness_present_flag,integration_build,source_presence_audit,audit_only,0,0.0,bool,Indicates whether the SA2 matched the source table during integration.
nsmhw__12_month_affective_disorders_modelled_sa2__persons_with_disorder,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_a,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,2380,96.278,string,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_affective_disorders_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Affective disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__persons_with_disorder,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__relative_root_mean_square_error_a,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,2412,97.573,string,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_anxiety_disorders_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Anxiety disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__persons_with_disorder,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__relative_root_mean_square_error_a,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,163,6.594,string,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__12_month_substance_use_disorders_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,disorder_subtype_related_outcome,target_leakage_exclusion_for_any_disorder_model,130,5.259,float64,Substance-use disorder subtype overlaps conceptually with any-disorder outcome.
nsmhw__any_12_month_mental_disorder_modelled_sa2__persons_with_disorder,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_source_related,manual_review_required,130,5.259,float64,Same workbook as primary outcome; classify exact measure before modelling.
nsmhw__any_12_month_mental_disorder_modelled_sa2__relative_root_mean_square_error_a,sa2_nsmhw_modelled_estimates_2020_22_wide,primary_outcome_source_related,manual_review_required,130,5.259,float64,Same workbook as primary outcome; classify exact measure before modelling.
