archive_path,archive_name,member_name,member_extension,member_file_size,member_compress_size,member_is_dir,member_is_candidate_data,detected_geographies
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_wa_en.csv,.csv,888352,23494,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_SED_2021_TB_RECODES.zip,SA1_2016_SED_2021_TB_RECODES.zip,2021_sed_wa_ur.csv,.csv,978253,22756,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Metadata/2021Census_geog_desc_1st_2nd_3rd_release.xlsx,.xlsx,3411053,3324796,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Metadata/2021_GCP_Sequential_Template_R2.xlsx,.xlsx,368031,306246,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Metadata/Metadata_2021_GCP_DataPack_R1_R2.xlsx,.xlsx,843482,656438,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/2021AboutDataPacks_readme.txt,.txt,9453,2876,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/2021Formats_readme.txt,.txt,2115,911,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/2021POA_readme.txt,.txt,5005,1646,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/CreativeCommons_Licensing_readme.txt,.txt,1988,888,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/esri_arcmap_readme.txt,.txt,2800,1280,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/mapinfo_Shp_readme.txt,.txt,525,326,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,Readme/Summary_of_changes.txt,.txt,4932,1685,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G01_AUST_SA2.csv,.csv,1091385,471719,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G02_AUST_SA2.csv,.csv,107350,37888,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G03_AUST_SA2.csv,.csv,918038,262808,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G04A_AUST_SA2.csv,.csv,1694562,644376,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G04B_AUST_SA2.csv,.csv,873624,336015,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G05_AUST_SA2.csv,.csv,1459055,591813,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G06_AUST_SA2.csv,.csv,1080590,454073,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G07_AUST_SA2.csv,.csv,1508221,608837,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G08_AUST_SA2.csv,.csv,1374965,512036,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09A_AUST_SA2.csv,.csv,1115070,233248,0,1,CENSUS
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,2021 Census GCP Statistical Area 2 for AUS/2021Census_G09B_AUST_SA2.csv,.csv,1063416,179628,0,1,CENSUS
