source_page_key,source_page_url,source_family,link_text,download_url,suffix_hint,discovered_at_utc,final_url,content_type,local_path,status,error,size_bytes
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data December 2024 (CSV 7.7MB),https://dataresearch.ndis.gov.au/media/4246/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4246/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_December_2024.csv,downloaded,,7995834
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data September 2024 (ZIP 2.0MB),https://dataresearch.ndis.gov.au/media/4146/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4146/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_September_2024.zip,downloaded,,2001601
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data Part 1 June 2024 (ZIP 5.5MB),https://dataresearch.ndis.gov.au/media/4043/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4043/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_Part_1_June_2024.zip,downloaded,,5732856
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,plan_management_types,Plan Management types data Part 2 June 2024 (ZIP 1.3MB),https://dataresearch.ndis.gov.au/media/4044/download?attachment,.zip,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4044/download?attachment,application/zip,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\plan_management_types__Plan_Management_types_data_Part_2_June_2024.zip,downloaded,,1336511
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Participant goals data (XLSX 104KB),https://dataresearch.ndis.gov.au/media/4104/download?attachment,.xlsx,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4104/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Participant_goals_data_3_.csv,downloaded,,105667
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,First Nations participants (CSV 52KB),https://dataresearch.ndis.gov.au/media/4227/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4227/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__First_Nations_participants.csv,downloaded,,52965
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Culturally and linguistically diverse participants (CSV 36KB),https://dataresearch.ndis.gov.au/media/4225/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4225/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Culturally_and_linguistically_diverse_participants.csv,downloaded,,36396
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Projected participant by service district data (CSV 10KB),https://dataresearch.ndis.gov.au/media/4273/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4273/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Projected_participants_by_service_district_data.csv,downloaded,,9594
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,participant_other,Projected participant by state and territory data (CSV 2KB),https://dataresearch.ndis.gov.au/media/4272/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4272/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Projected_participants_by_state_and_territory_data.csv,downloaded,,1339
participant_datasets,https://dataresearch.ndis.gov.au/datasets/participant-datasets,other_download,Baseline Outcomes data (CSV 67KB),https://dataresearch.ndis.gov.au/media/4223/download?attachment,.csv,2026-06-19T00:46:08.214618+00:00,https://dataresearch.ndis.gov.au/media/4223/download?attachment,text/csv; charset=UTF-8,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\other_download__Baseline_Outcomes_data.csv,downloaded,,67917
