column_name,normalised_column_name,matched_patterns,non_missing_count,numeric_parse_rate,min_numeric,max_numeric,source_hint
census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_count,census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_count,rent,2341,0.9470064724919094,0.0,1788.0,existing_master_quickstats_or_prior_layer
census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_pct,census_qs_families_unnamed_unnamed_family_composition_all_families_one_parent_family_pct,rent,2341,0.9470064724919094,0.0,45.0,existing_master_quickstats_or_prior_layer
census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_female_pct,census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_female_pct,rent,2341,0.9470064724919094,0.0,100.0,existing_master_quickstats_or_prior_layer
census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_male_pct,census_qs_families_unnamed_unnamed_single_parents_proportion_of_the_to_male_pct,rent,2341,0.9470064724919094,0.0,50.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_count,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_count,housing,2341,0.9470064724919094,18.0,7256.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_pct,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_family_households_pct,housing,2341,0.9470064724919094,32.1,93.2,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_count,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_count,housing,2341,0.9470064724919094,0.0,1768.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_pct,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_group_households_pct,housing,2341,0.9470064724919094,0.0,20.2,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_count,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_count,housing,2341,0.9470064724919094,9.0,6107.0,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_pct,census_qs_housing_unnamed_unnamed_household_composition_occupied_priv_single_person_households_pct,housing,2341,0.9470064724919094,5.4,60.6,existing_master_quickstats_or_prior_layer
census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_less_than_650_total_household_weekly_income_pct,census_qs_housing_unnamed_unnamed_household_income_occupied_private_d_less_than_650_total_household_weekly_income_pct,housing,2341,0.9470064724919094,0.0,44.3,existing_master_quickstats_or_prior_layer
