native_geography,relative_path,file_size_mb,estimated_rows
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_004_download_xlsx_80_kb__table_1_nsw_summary_indicators__v20.csv,0.003873,20
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_004_download_xlsx_80_kb__table_3_vic_summary_indicators__v20.csv,0.003871,20
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_004_download_xlsx_80_kb__table_5_qld_summary_indicators__v20.csv,0.003872,20
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_004_download_xlsx_80_kb__table_7_sa_summary_indicators__v20.csv,0.003842,20
sa3,data\processed\native\sa3\aedc_child_development__aedc_child_development_004_download_xlsx_80_kb__table_9_wa_summary_indicators__v20.csv,0.003847,20
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_common_procedures_2023_24__v20.csv,2.606765,6240
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_3__v20.csv,0.292026,863
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__admitted_patient_care_state_and_territory_tables_2023_24__table_ac_4__v20.csv,0.134531,370
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__cmhc_mrf_geospatialfocus_2324__v20.csv,13.975648,31173
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_mbs_1__v20.csv,0.057463,220
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_service_2024_25__table_mbs_2__v20.csv,0.057908,210
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_services_phn_sa4_2024_25__v20.csv,8.493082,28560
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__medicare_mental_health_services_quarters_and_demographics_2024_25__v20.csv,14.574601,43200
sa3,data\processed\native\sa3\aihw_mental_health_regional_activity__mental_health_related_prescriptions_phn_and_sa4_2024_25_6__v20.csv,15.640259,48000
sa3,data\processed\native\sa3\aihw_regional_profiles_sa3_2021_22__native_copy__v20.csv,0.161309,335
sa3,data\processed\native\sa3\aihw_regional_profiles_sa3_long_2021_22__native_copy__v20.csv,18.959156,59074
sa3,data\processed\native\sa3\ndis_service_area_candidate__cald_participants_2026_03_31_participant_other_culturally_and_linguistically_diverse_participants__v20.csv,0.313869,1072
sa3,data\processed\native\sa3\ndis_service_area_candidate__diagnosis_2026_03_31_participants_count_by_diagnosis_participants_count_by_diagnosis_data__v20.csv,7.61875,24406
sa3,data\processed\native\sa3\ndis_service_area_candidate__first_nations_participants_2026_03_31_participant_other_first_nations_participants__v20.csv,0.408846,1546
sa3,data\processed\native\sa3\ndis_service_area_candidate__participants_by_sa3_2026_03_31_participants_by_sa3_participants_by_sa3_data__v20.csv,2.321575,9038
sa3,data\processed\native\sa3\ndis_service_area_candidate__payments_2024_06_30_payments_payments_data_june_2024__v20.csv,32.91521,114034
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__aboriginal_females__v20.csv,0.203007,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__aboriginal_males__v20.csv,0.201135,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__aboriginal_persons__v20.csv,0.206941,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_diag_females__v20.csv,0.750417,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_diag_males__v20.csv,0.715056,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_diag_persons__v20.csv,0.802199,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_ext_females__v20.csv,0.263602,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_ext_males__v20.csv,0.262567,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admiss_principal_ext_persons__v20.csv,0.311588,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admissions_prevent_diag_acute__v20.csv,0.293347,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admissions_prevent_diag_total__v20.csv,0.310877,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admissions_prevent_diag_vaccin__v20.csv,0.139268,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admissions_procedures__v20.csv,0.564121,664
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__admissions_same_day_renal__v20.csv,0.126373,663
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_females__v20.csv,0.43389,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_females_broad__v20.csv,0.249812,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_males__v20.csv,0.432446,661
sa3,data\processed\native\sa3\phidu_raw__phidu_official_phn_with_component_lgas__age_distribution_males_broad__v20.csv,0.24816,661
