column_name,missing_count,missing_pct,non_missing_count,dtype
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_burarra_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_burarra_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_catalan_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_catalan_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_cebuano_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_cebuano_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_central_anmatyerr_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_central_anmatyerr_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_chinese_nfd_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_chinese_nfd_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dalabon_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dalabon_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dharawal_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dharawal_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dhuwaya_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_dhuwaya_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_djabugay_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_djabugay_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_djambarrpuyngu_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_djambarrpuyngu_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_eastern_anmatyerr_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_eastern_anmatyerr_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_eastern_arrernte_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_eastern_arrernte_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_fijian_hindustani_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_fijian_hindustani_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_garrwa_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_garrwa_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gilbertese_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gilbertese_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_girramay_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_girramay_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gumatj_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gumatj_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gurindji_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_gurindji_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_iwaidja_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_iwaidja_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_jaru_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_jaru_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kayardild_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kayardild_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kimberley_area_languages_nec_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kimberley_area_languages_nec_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kinyarwanda_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kinyarwanda_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kukatha_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kukatha_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kukatja_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kukatja_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kuninjku_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kuninjku_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kuuk_thayorre_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_kuuk_thayorre_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_lardil_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_lardil_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_latvian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_latvian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_lithuanian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_lithuanian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mangarrayi_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mangarrayi_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_manyjilyjarra_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_manyjilyjarra_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_marathi_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_marathi_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_maung_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_maung_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_miriwoong_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_miriwoong_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mongolian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mongolian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mudburra_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_mudburra_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_narungga_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_narungga_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ndjebbana_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ndjebbana_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngaliwurru_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngaliwurru_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngarinyman_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngarinyman_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngarluma_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ngarluma_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_norwegian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_norwegian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_nunggubuyu_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_nunggubuyu_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_oromo_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_oromo_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_paakantyi_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_paakantyi_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_sign_languages_nec_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_sign_languages_nec_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_slovak_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_slovak_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_solomon_islands_pijin_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_solomon_islands_pijin_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_southeast_asian_austronesian_languages_nfd_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_southeast_asian_austronesian_languages_nfd_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_swiss_so_described_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_swiss_so_described_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tibetan_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tibetan_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tigrinya_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tigrinya_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tokelauan_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_tokelauan_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_torres_strait_island_languages_nfd_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_torres_strait_island_languages_nfd_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ukrainian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_ukrainian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_wagiman_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_wagiman_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_walmajarri_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_walmajarri_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_warlmanpa_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_warlmanpa_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yanyuwa_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yanyuwa_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yawuru_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yawuru_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yindjibarndi_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yindjibarndi_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yugambeh_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yugambeh_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yulparija_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_yulparija_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_brethren_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_brethren_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_jehovah_s_witnesses_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_jehovah_s_witnesses_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_latter_day_saints_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_latter_day_saints_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_other_spiritual_beliefs_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_other_spiritual_beliefs_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_agricultural_and_construction_machinery_wholesaling_count,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_agricultural_and_construction_machinery_wholesaling_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_beef_cattle_feedlots_count,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_beef_cattle_feedlots_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_cake_and_pastry_manufacturing_count,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_cake_and_pastry_manufacturing_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_car_retailing_count,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_car_retailing_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_concreting_services_count,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_concreting_services_pct,2471,99.96,1,float64
census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_courier_pick_up_and_delivery_services_count,2471,99.96,1,float64
